name,city,publisher,url,views,created_at,age_days
,Casablanca,Bsweet,https://ma.afribaba.com/casablanca/hbiba-ana-zwina-aji-zn-ndiro-kolchi-7ta-ok-a7777-783075.html,573188,2026-09-18T17:58:00,2.8
,BourgogneCasablanca,PFinitionblack,https://ma.afribaba.com/casablanca/fintion-black-bigerzob-650109.html,554426,2026-03-20T05:57:00,185.3
,BourgogneCasablanca,PLeila Housse,https://ma.afribaba.com/casablanca/24-h-24-h-ji-daba-daba-kantssanaouk-286955.html,544760,2023-06-10T00:12:00,1199.5
,Casablanca,BAya,https://ma.afribaba.com/casablanca/fdari-maarif-sexy-de-20ans--781900.html,515507,2026-09-13T14:07:00,7.9
,Casablanca,BNice Lady,https://ma.afribaba.com/casablanca/ghita-bayda-o3rida-bb--782149.html,512569,2026-09-13T20:14:00,7.7
,Casablanca,BShemale,https://ma.afribaba.com/casablanca/finition-inoubliable-avec-trans--499285.html,473572,2026-09-09T18:33:00,11.7
,Casablanca,BLove hard,https://ma.afribaba.com/casablanca/masseuse-experimentee-sm-haut-de-gamme-soft-ou-hard-482471.html,466232,2026-09-09T14:55:00,11.9
,Casablanca,BDomination for woman,https://ma.afribaba.com/casablanca/domination-for-woman-533736.html,458770,2026-09-03T19:33:00,17.7
,Casablanca,BSexy lady,https://ma.afribaba.com/casablanca/mature-chaude-de-34ans--724081.html,432882,2026-09-14T18:34:00,6.7
,Casablanca,PPacks Salma,https://ma.afribaba.com/casablanca/salut-ana-salma-kandir-li-packs-sexy-dyali-sixcam-719537.html,406366,2026-09-17T21:53:00,3.6
,CalifornieCasablanca,PBlack Friday,https://ma.afribaba.com/casablanca/je-reponds-sur-telegram-694232.html,392756,2026-09-21T11:03:08.460313,0.0
,BourgogneCasablanca,PNinfomen,https://ma.afribaba.com/casablanca/mass-finition-discretion-618512.html,378438,2026-03-20T05:59:00,185.3
,OulfaCasablanca,BWiam,https://ma.afribaba.com/casablanca/wiam-oulfa-kbida--783003.html,370174,2026-09-15T14:51:00,5.9
,Casablanca,BFarawla,https://ma.afribaba.com/casablanca/farawla-plaisir-intense--783058.html,338459,2026-09-15T14:42:00,5.9
,BourgogneCasablanca,PNawal,https://ma.afribaba.com/casablanca/-nawal-taille-sexy-super-finition-enceinte-434367.html,332001,2024-07-03T22:45:00,809.6
,Casablanca,BSalut098,https://ma.afribaba.com/casablanca/bayda-zwina-n9iya-ila-bghiti-rahtek-onthla-fik-aji-3andi-bb--782992.html,331077,2026-09-15T12:53:00,6.0
,OulfaCasablanca,BFarah,https://ma.afribaba.com/casablanca/farah-a-oulfa--782980.html,328725,2026-09-15T12:29:00,6.0
,Racine (Casablanca)Casablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/-votre-masseuse-preferee--181309.html,325906,2026-09-20T14:17:00,0.9
,Casablanca,BKenza,https://ma.afribaba.com/casablanca/ana-sahbti--783137.html,311342,2026-09-15T16:54:00,5.8
,Casablanca,Bnidal,https://ma.afribaba.com/casablanca/nidal-molat-tarf-forma-7lowa--782973.html,295033,2026-09-15T12:14:00,6.0
,Sidi MaâroufCasablanca,Pdiagana,https://ma.afribaba.com/casablanca/massage-chez-bibashou-677584.html,293234,2026-02-12T19:22:00,220.7
,Casablanca,BHouda diamo,https://ma.afribaba.com/casablanca/ain-sebaa-taille-lhbaal-top-finition--783118.html,288538,2026-09-15T16:33:00,5.8
,Aïn DiabCasablanca,PPaolo Gaime ouver,https://ma.afribaba.com/casablanca/-complet-686835.html,286890,2026-04-12T04:13:00,162.3
,Aïn DiabCasablanca,BSpadelux Centre,https://ma.afribaba.com/casablanca/-massage-dyal-lahbal--287597.html,275640,2026-08-22T18:08:00,29.7
,CIL (Casablanca)Casablanca,PSophia Casa,https://ma.afribaba.com/casablanca/massage-complet-avec-finition-chez-sophia-a-domicile-202373.html,272238,2022-08-01T19:45:00,1511.7
,Sidi MaâroufCasablanca,PDes Dames Lhomme,https://ma.afribaba.com/casablanca/massage-avec-bon-finition-pour-femme-ou-couple-libre-586074.html,271376,2026-09-15T08:44:00,6.1
,CIL (Casablanca)Casablanca,BLhomme Noir,https://ma.afribaba.com/casablanca/massage-pour-les-couples-744343.html,267345,2026-09-02T11:23:00,19.0
,Casablanca,BLadyboy,https://ma.afribaba.com/casablanca/plaisir-inoubliable-avec-trans--505636.html,260864,2026-09-14T19:58:00,6.7
,OulfaCasablanca,PVero Dana,https://ma.afribaba.com/casablanca/-ana-la-belle-massage-finition-discretion-h24-452020.html,258000,2024-08-21T16:58:00,760.8
,Casablanca,BRositaben,https://ma.afribaba.com/casablanca/lalak-rania-jat-domination--683535.html,247405,2026-02-20T20:08:00,212.7
,CIL (Casablanca)Casablanca,PHafoussa,https://ma.afribaba.com/casablanca/hafsa-la-belle-jolie-fesse-tout-finitions-775631.html,242659,2026-09-15T16:58:00,5.8
,Les Roches NoiresCasablanca,PBlack Friday,https://ma.afribaba.com/casablanca/layla-amp-039-s-telegram-716530.html,240353,2026-09-14T14:50:00,6.9
,Hay SalamaCasablanca,BNora,https://ma.afribaba.com/casablanca/tacharouk-aji-daba-bebe--782993.html,237748,2026-09-15T13:39:00,5.9
,Casablanca,BPlaisir Intense,https://ma.afribaba.com/casablanca/femme-de-pouvoir-elegante-et-autoritaire-623668.html,235980,2026-09-09T14:55:00,11.9
,BelvédèreCasablanca,Psex top,https://ma.afribaba.com/casablanca/sex-cam-disponible-anaa-tayiba-9ra-ltht-darori--684486.html,231444,2026-09-21T10:42:14.366676,0.1
,Casablanca,BAppartement,https://ma.afribaba.com/casablanca/jeune-a-casa-de-23ans-bohdi--781584.html,218822,2026-09-12T18:43:00,8.7
,Casablanca,Bsara,https://ma.afribaba.com/casablanca/sara-zin-mature-de30-aji-hbibi-3andi-nathalla-fik--782437.html,216279,2026-09-14T13:16:00,6.9
,Casablanca,BSamia,https://ma.afribaba.com/casablanca/la-star-a-barnoussi-skhona-mtchb3ch-mni-azhar--782941.html,212970,2026-09-15T11:49:00,6.0
,Casablanca,BOumaima,https://ma.afribaba.com/casablanca/oumaima-nthalla-fik--783145.html,210019,2026-09-15T17:14:00,5.8
,Casablanca,BShemale,https://ma.afribaba.com/casablanca/super-finition-avec-trans-sexy-boy--719043.html,206321,2026-08-24T22:21:00,27.6
,Casablanca,BNafis Hajar,https://ma.afribaba.com/casablanca/hajar-appel-vid-amp-amp-packs-ajiiii-3andi-telegram-bb-531717.html,190457,2026-02-22T13:22:00,210.9
,Oasis (Casablanca)Casablanca,BNour bb,https://ma.afribaba.com/casablanca/plaisir-magique-avec-trans--730656.html,188783,2026-09-06T21:20:00,14.6
,CIL (Casablanca)Casablanca,PNesrina Casa,https://ma.afribaba.com/casablanca/magnifique-massage-de-votre-choix-chez-nesrine-a-domicile-202515.html,187591,2022-07-26T21:11:00,1517.6
,OulfaCasablanca,BOulfa,https://ma.afribaba.com/casablanca/zeen-w-la-taille-hbe-walfa--741986.html,186321,2026-09-21T10:31:18.096748,0.1
,BourgogneCasablanca,PAnounymous Anounymous,https://ma.afribaba.com/casablanca/nono-transsexual-a-maarif-583892.html,186266,2026-07-22T17:52:00,60.8
,BourgogneCasablanca,Bsokai,https://ma.afribaba.com/casablanca/sokai-massage-a-domicile-prix-zwin--78622.html,185690,2023-04-27T12:06:00,1243.0
,Casablanca,BHouda diamo,https://ma.afribaba.com/casablanca/je-deplace-dalal-njiik-tal-dar-deplacement--781681.html,185223,2026-09-12T20:51:00,8.6
,Aïn DiabCasablanca,PBlack Friday,https://ma.afribaba.com/casablanca/add-me-on-telegram-babies-732602.html,181957,2026-09-21T10:20:19.336884,0.1
,Casablanca,BMassage Vip,https://ma.afribaba.com/casablanca/-promotion-d-ouverture--180243.html,180011,2026-09-20T13:49:00,0.9
,Aïn DiabCasablanca,Bgirlsagency,https://ma.afribaba.com/casablanca/baby-aji-endi-ana-kansaynk--734454.html,179433,2026-06-26T12:28:00,87.0
,Casablanca,BEscort,https://ma.afribaba.com/casablanca/nouvelle-escort-taille-bigg-ass-bombe-n3jbk-hlowa-anfa-783094.html,172119,2026-09-15T15:41:00,5.8
,Casablanca,PAbdelah Chabchoub,https://ma.afribaba.com/casablanca/cute-femboy--719666.html,169792,2026-07-17T19:28:00,65.7
,Casablanca,BRim,https://ma.afribaba.com/casablanca/kawtar-de-21-ans-top-girl--782476.html,167910,2026-09-14T14:25:00,6.9
,Casablanca,BAna Sara,https://ma.afribaba.com/casablanca/bghiti-latay-ou-zin-aji-bb-mghadich-tndm-trja3-farhan--760113.html,167304,2026-08-03T11:23:00,49.0
,Racine (Casablanca)Casablanca,BSpadelux Centre,https://ma.afribaba.com/casablanca/-masseuse-bresilienne--287455.html,166654,2026-09-21T10:22:21.649829,0.1
,Derb GhallefCasablanca,Bimane,https://ma.afribaba.com/casablanca/iman-massage-pour-les-soumis-79162.html,165797,2023-10-03T17:05:00,1083.8
,BourgogneCasablanca,BMagic Rrlax,https://ma.afribaba.com/casablanca/-soumia-sexy-finition-mli7a--782489.html,162312,2026-09-14T15:29:00,6.9
,Casablanca,BHouda diamo,https://ma.afribaba.com/casablanca/niema-taille-lhbaal-top-finition--782327.html,160896,2026-09-14T03:20:00,7.4
,Casablanca,Bibtissam lux,https://ma.afribaba.com/casablanca/dominatrice-se-deplace-nji-tal-3endek-hbibi-nthala-fiik-o-nbar3akk-743987.html,160341,2026-09-16T16:54:00,4.8
,Hay SalamaCasablanca,BOumaima,https://ma.afribaba.com/casablanca/bournazil-a7la-sensation-bb--782998.html,159359,2026-09-15T13:00:00,6.0
,Racine (Casablanca)Casablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/promotion-dyal-lahbal-zinn-o-la-taille-422616.html,156566,2026-09-21T10:38:23.628717,0.1
,Casablanca,PMassage Vip,https://ma.afribaba.com/casablanca/--170965.html,154292,2026-08-21T13:26:00,30.9
,Derb GhallefCasablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/-black-friday-la-hot-wijdann--180987.html,153065,2026-09-17T16:06:00,3.8
,Casablanca,BMeskini Rania,https://ma.afribaba.com/casablanca/a77-aji-njiboh-bjouj-appel-video-wla-pack-aji-telegram-lteht--683336.html,152378,2026-05-14T14:06:00,129.9
,Casablanca,BSahrawiyaa,https://ma.afribaba.com/casablanca/sahrawiya-hbe-massage-booohdi--723999.html,151498,2026-09-03T16:08:00,17.8
,Casablanca,BSoltana soso,https://ma.afribaba.com/casablanca/titiza-kbida-dyali-rahteek-m3aya-maghdich-tskha-biya--735472.html,150339,2026-06-16T11:14:00,97.0
,Casablanca,BSpa,https://ma.afribaba.com/casablanca/spa-jolie-masseuse-massage-amp-amp-hammam-pro--783079.html,148376,2026-09-15T15:08:00,5.9
,BourgogneCasablanca,PMeriem Alami,https://ma.afribaba.com/casablanca/-fille-sexy-aaa77-top-escort--782143.html,147941,2026-09-16T20:37:00,4.6
,CIL (Casablanca)Casablanca,PIsmail,https://ma.afribaba.com/casablanca/ismail-bb-456062.html,147341,2024-09-12T21:10:00,738.6
,CIL (Casablanca)Casablanca,PKamal13,https://ma.afribaba.com/casablanca/homme-masseur--462048.html,147213,2024-09-20T21:54:00,730.6
,Casablanca,PBlack Friday,https://ma.afribaba.com/casablanca/massage-sensuel-707662.html,147055,2026-09-17T14:40:00,3.9
,OulfaCasablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/-la-delicieuse-masseuse-yasmine--180885.html,146397,2026-07-15T12:26:00,68.0
,Casablanca,BAurora Dominatrice girl,https://ma.afribaba.com/casablanca/girl-100-independante-je-suis-une-belle-malienne-nouveelle-sur-casab-783169.html,145677,2026-09-15T17:48:00,5.8
,Casablanca,BBtissam,https://ma.afribaba.com/casablanca/btissam-topescort-skhona-n3jbk-forma-zwina-ahla--783017.html,143270,2026-09-15T13:44:00,5.9
,OulfaCasablanca,PIsac Isac,https://ma.afribaba.com/casablanca/jeune-black-disponible-pour-vous-mesdames--558853.html,139161,2026-09-14T22:59:00,6.5
,Casablanca,BSofya Nadine,https://ma.afribaba.com/casablanca/-se-deplace-chez-toi-nji-tal-3andek-723310.html,138223,2026-09-18T22:01:00,2.6
,Aïn DiabCasablanca,BPaolo Gaime ouver,https://ma.afribaba.com/casablanca/hayat-massage-692195.html,137592,2026-08-20T05:11:00,32.3
,Casablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/-la-masseuse-grosse-chaude-vous-attends--178773.html,135571,2026-07-27T18:40:00,55.7
,Aïn DiabCasablanca,PNafis Hajar,https://ma.afribaba.com/casablanca/hajar-pack-et-plan-viens-chez-moi-mon-coeur--385059.html,134441,2024-05-01T00:08:00,873.5
,Aïn DiabCasablanca,Bgirlsagency,https://ma.afribaba.com/casablanca/sara-doz-endi-nber3k--734457.html,131617,2026-06-26T12:33:00,87.0
,Casablanca,BAsma,https://ma.afribaba.com/casablanca/new-escort-asma-la-prefere-grand-cul-xxl-recois-anfa-vgl-hard-782978.html,130500,2026-09-15T12:29:00,6.0
,Casablanca,BSe deplace,https://ma.afribaba.com/casablanca/hanan-se-deeplace-huubi-chez-vous-a-casaa--775148.html,130026,2026-09-14T18:35:00,6.7
,CIL (Casablanca)Casablanca,BSara,https://ma.afribaba.com/casablanca/hind-25-bb-aji-3andi-ana-ntsnak-wra-lftoyr-aji-trtah-ahsan-b--689033.html,129754,2026-03-13T18:29:00,191.7
,Casablanca,BRoumaisa,https://ma.afribaba.com/casablanca/vip-a-bernousi--782563.html,127551,2026-09-14T16:27:00,6.8
,Aïn DiabCasablanca,BSpadelux Centre,https://ma.afribaba.com/casablanca/-new-spa-a-votre-service-promo--287461.html,126025,2026-08-22T15:07:00,29.9
,Casablanca,BJoudia Massage,https://ma.afribaba.com/casablanca/-plan-top-et-sexcam-avec-trans-soltana-750569.html,124293,2026-08-29T00:18:00,23.5
,Casablanca,BHouda diamo,https://ma.afribaba.com/casablanca/zineb-taille-thabal-deplacement--782769.html,124041,2026-09-14T21:36:00,6.6
,Hay SalamaCasablanca,BSexy,https://ma.afribaba.com/casablanca/derb-milan-plaisir-intense--782512.html,123761,2026-09-14T15:27:00,6.9
,OulfaCasablanca,BAmina massage,https://ma.afribaba.com/casablanca/mariam-nouvelle-massage-a-domicile-plaisir-assurer--782979.html,122081,2026-09-15T12:27:00,6.0
,Casablanca,BSexy Rime,https://ma.afribaba.com/casablanca/dounia-la-blonde-chez-moi-bb-sexy--782015.html,121586,2026-09-13T16:08:00,7.8
,CIL (Casablanca)Casablanca,PMouna Casa44,https://ma.afribaba.com/casablanca/massage-de-votre-desir-chez-mouna-a-domicile-203627.html,121349,2022-08-18T13:13:00,1494.9
,Casablanca,BLaila,https://ma.afribaba.com/casablanca/chubby-girl-tous-types--783140.html,121289,2026-09-15T17:39:00,5.8
,Casablanca,BNawal,https://ma.afribaba.com/casablanca/nawal-deriya-ghezala-forma-dial-lhbal-hlowa-top--783011.html,119881,2026-09-15T13:30:00,5.9
,Casablanca,PSara Se déplace,https://ma.afribaba.com/casablanca/sara-se-deplace-nji-htal-3andak-bb--666447.html,118530,2026-01-16T15:09:00,247.9
,BelvédèreCasablanca,PAdam Chabchoub,https://ma.afribaba.com/casablanca/--757142.html,118383,2026-08-24T00:34:00,28.5
,Aïn DiabCasablanca,PMR SSS,https://ma.afribaba.com/casablanca/hubi-kbida-njiibbooh-sex-cam-9ra-tht-darori-783084.html,117653,2026-09-15T15:24:00,5.9
,Casablanca,BRim,https://ma.afribaba.com/casablanca/maria-de-19-ans-top-girl--782469.html,115693,2026-09-14T14:18:00,6.9
,Racine (Casablanca)Casablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/-la-merveilleuse-masseuse-narjiss--180867.html,114791,2026-09-21T10:41:34.562411,0.1
,Casablanca,Pmassage a domicil,https://ma.afribaba.com/casablanca/je-suis-lydi-escorte-independante-et-privee-sur-casablanaca-au-maro-627192.html,114760,2025-10-29T13:58:00,326.9
,BelvédèreCasablanca,PGdgdgd Gsgdgdg,https://ma.afribaba.com/casablanca/finition--773245.html,114822,2026-09-21T10:35:34.215168,0.1
,Casablanca,BJoudia Massage,https://ma.afribaba.com/casablanca/-plasir-top-et-innoubliable-avec-trans-shams-754806.html,114421,2026-08-29T23:19:00,22.5
,Aïn DiabCasablanca,PWafa Elle,https://ma.afribaba.com/casablanca/ajiw-eandi-l-telegramme-737698.html,114000,2026-09-21T10:49:34.875438,0.0
,BelvédèreCasablanca,PKim Kim,https://ma.afribaba.com/casablanca/-bai-se-legendaire-chatte-mouille-plaisir-illimite-h24--782296.html,113891,2026-09-14T00:13:00,7.5
,Aïn DiabCasablanca,PAfofaa,https://ma.afribaba.com/casablanca/aji-3endi-ahbiba-nthla-fik-kantsnaak-a777-380365.html,112209,2024-02-03T20:54:00,960.6
,BelvédèreCasablanca,BGirls Sexy,https://ma.afribaba.com/casablanca/sara-ahsen-wehda-kadir-les-pack--719598.html,110097,2026-05-30T14:10:00,113.9
,Casablanca,BKawtarkokita,https://ma.afribaba.com/casablanca/je-suis-domina-severe-aussi-milf-gros-seins-grosses-fesses-dispo-782760.html,107465,2026-09-15T09:46:00,6.1
,Casablanca,BMiss hard,https://ma.afribaba.com/casablanca/sublime-escorte-girl-pro-disponible-h24-pour-votre-plaisir-489715.html,106850,2026-09-12T16:45:00,8.8
,Casablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/votre-massage-vous-attends--181431.html,105365,2025-05-03T14:08:00,505.9
,CIL (Casablanca)Casablanca,BSalut098,https://ma.afribaba.com/casablanca/slt-bb-ana-aya-aji-3andi-apparemment-calme-khod-rahtek-bb--691583.html,105261,2026-03-20T18:10:00,184.7
,Casablanca,BHouda diamo,https://ma.afribaba.com/casablanca/hiba-23ans-deplacement-bomba-chez-toi--782842.html,103772,2026-09-14T23:33:00,6.5
,Aïn DiabCasablanca,BGirls Sexy,https://ma.afribaba.com/casablanca/li-bgha-pack-skhon-mre7ba-bih--711165.html,103657,2026-05-27T15:37:00,116.8
,Aïn DiabCasablanca,BGirls Sexy,https://ma.afribaba.com/casablanca/baby-aji-endi-ana-kantsnak--711035.html,102956,2026-06-06T17:19:00,106.8
,CIL (Casablanca)Casablanca,BSalut098,https://ma.afribaba.com/casablanca/hind-de-22-ans-plaisir-intense--690942.html,101443,2026-03-18T17:07:00,186.8
,Casablanca,BIvan Delaroche,https://ma.afribaba.com/casablanca/je-suis-ivan-delaroche-masseur-gay-actif-et-passif-vient-bb--782066.html,98590,2026-09-13T17:52:00,7.8
,Casablanca,BAna Sara,https://ma.afribaba.com/casablanca/sara-bb-aji-3andi-marhba-bik-nthla-fik--693594.html,96828,2026-03-24T20:55:00,180.6
,Casablanca,BHouda diamo,https://ma.afribaba.com/casablanca/je-deplace-jihan-njiik-tal-dar-deplacement--782745.html,95782,2026-09-14T20:55:00,6.6
,Casablanca,BSalut098,https://ma.afribaba.com/casablanca/bayda-ou-zwina-thma9-3liya-bb-mghadich-tndam-aji-nthla-fik--781947.html,95433,2026-09-14T18:51:00,6.7
,Casablanca,PAssil Daz,https://ma.afribaba.com/casablanca/lina-irresistilble--511770.html,95256,2025-01-26T16:31:00,602.8
,Racine (Casablanca)Casablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/-la-princesse-israe-du-massage-avec-finitions--180717.html,94307,2026-09-20T14:16:00,0.9
,Casablanca,BPrincesse,https://ma.afribaba.com/casablanca/massages-sensuels-et-pratiques-erotiques-489721.html,94095,2026-09-12T16:43:00,8.8
,CIL (Casablanca)Casablanca,BAna Iman,https://ma.afribaba.com/casablanca/bb-aji-3andi-ana-ntsnak-fi-dari-rahtek-m3aya-fi-dari-bb-687915.html,93245,2026-03-10T18:23:00,194.7
,Casablanca,BJoudia Massage,https://ma.afribaba.com/casablanca/-plasir-top-et-innoubliable-avec-trans-ghazal-748899.html,92475,2026-09-12T22:15:00,8.6
,BourgogneCasablanca,PGhizou ghizou,https://ma.afribaba.com/casablanca/-ghyzlan-massage-a-domicile-24h--305267.html,91896,2023-08-07T00:49:00,1141.5
,Casablanca,BHouda diamo,https://ma.afribaba.com/casablanca/israa-23ans-se-deplace-kbida--782803.html,89684,2026-09-14T22:28:00,6.6
,OulfaCasablanca,Pnguessan parfait kouame,https://ma.afribaba.com/casablanca/passif-black-pour-massage-et-finition-717315.html,88848,2026-09-09T23:20:00,11.5
,Casablanca,Bsweet,https://ma.afribaba.com/casablanca/massage-sensuel-783081.html,88557,2026-09-18T17:43:00,2.8
,Casablanca,BHouda diamo,https://ma.afribaba.com/casablanca/hoyam-de-24ans-la-maturite-bb--781875.html,88084,2026-09-13T11:56:00,8.0
,Casablanca,PHi,https://ma.afribaba.com/casablanca/massage-pour-tout-le-monde-498672.html,87207,2025-03-29T21:26:00,540.6
,Casablanca,BMassage Vip,https://ma.afribaba.com/casablanca/-cute-brunette-photo-reelle--182105.html,86956,2026-08-21T14:30:00,30.9
